question,answer,crop,state,district,category
asking about the control measure to control leaf curl disease in capsicum,suggested to spray rogor 35 ec @ 2 mililitre / litre of water.,,,,
query regarding pm kisan status,update aadhar and correction to be made as soon as possible to avail the benefit,,,,
asking about the medicine for cattle,advice- vimeral-20 ml twice daily x15 days. ostocalcium- 20 ml twice daily x15 days.trisoliv-20 ml twice daily x15 days.,,,,
recommended fertilizer dose for sesamum,"recommended fertilizer dose -urea @ 9 kilogram,ssp @ 19 kilgram,mop @ 5 kilogram,compost @ 2-3 quintle /bigha",,,,
query regarding liming in pond in pond,advice him to apply lime @ 10gm/litres of water spread area,,,,
asking about the micronutrient used in bottle gourd,suggest him to apply tracel 2 @ 2ml/litre of water.,,,,
asked about numbers of duck husbanry in duck cum fish farming,adviced him to rear 240-300 nums of birds per hacarea at 1:5 male female ratio.,,,,
query regarding varities of chilli,"recommended to cultivate pusa juwala , n p - 46",,,,
"asking about fish stocking rate, fish composition and control of ulcer","stocking rate @ 4000 fingerling for 2 bigha pond
surfase(catla, silver carp) @ 30 to 40 %
coloumn or middle (rohu, grass carp, puti, reba, calbasu)@15 to 20 %
bottom (common carp, mrigal) @ 40 to 45 %
 260 ml of cifax mix with 20 l water  for 2 bigha pond - control of ulcer or eus",,,,
asking for training on rabi crops,"give him the number of kvk i.e. 0361-
2842513 to contact for trainning",,,,
control measure of scaring beetle attack in banana,advised to spray malathion 50 ec @ 1 ml / litre of water,,,,
enquired about the varities of chilli,"suggested  pussa juwala , np - 46 , surjamukhi",,,,
asking about the control for bacterial soft rot in potato.,details given(spray carbendazim or blitox @ 2gm/lt of water with tetracycline 500mg 2 tablet/15 lt of water at ground level),,,,
query related to agri,transfered to agri expert,,,,
asking for control of aphid,recommended him to spray rogor @ 1.5 ml per litre of water,,,,
asked about the composite fish culture.,given in deatil about the composite fish culture.,,,,
asking about 6th installment of pm kisan samman nidhi.,please update your adhar number and wait until your varification process is over.,,,,
asking about the controlling the stem borer of rice,recommended to spray kinadon plus 40 sl @ 2 ml/lit of water,,,,
control measure of late blight in potato.,advised to apply indofil m-45 @ 2.5 gram / litre of water.,,,,
asking about control measure of shoot borer,recommended to spray rogor @ 2 ml per lit of water,,,,
asking about control measure of leaf curl and leaf spot,suggested to spray rogor @ 2 ml per lit of water for leaf curl and spray saaf @ 2 g per lit of water for leaf spot,,,,
asked about stocking density and feedind practices of fish,explained details,,,,
asking about treatment of fever in cow.,suggested to administer melonex plus tab.@1 tab./200 kg.body weight and if necessary antibiotic should give with the help of a veteri narian.,,,,
asking about the control of fruit fly in chillies,spray ragor 35 ec @ 2ml/litres of water,,,,
asking about seed rates,advice to apply 100 gm seeds/packet,,,,
asking about the pm kisan maan dhan yojana,".visit csc-common service center in block, contact with vle -village level extension for further online process of the scheme.
pension of 3000/- is paid to the subscriber at attaining age of 60 years. 
50% for wife in case of any unusual circumstances.
important documents =
-aadhar card
-farmers details
-bank documents details
-land documents
-for married person-spouse name and bank details, date of birth
-i d proof like pan card etc
eligible criteria-
-age group from 18 to 40 years 
-land should not more than 15 bigha 
-no govt job holder/ retired/ income tax payer etc
-for varying age group , the amount of premium will be different like from rs.55 to 200/-",,,,
query regarding pm kisan.,-- approach dist. agri. office.,,,,
want to know about carp disease.,given him in details.,,,,
asking recommended variety of lentil,"grow variety of lentil like-b-77,l-9-12,pl 406,pl 81-4",,,,
asking about the tractor loan,explain him in detail,,,,
asked abt carp breeding...,explain....,,,,
query regarding pm kisan,-- told him to  take the information from district agriculture office,,,,
asking about some early varieties of radish.,"told him to go for pusa deshi, pusa chetki, pusa himani etc.",,,,
asking about control measure aphid,suggested to spray rogor @ 2 ml per lit of water,,,,
asked about cabbage problem,advised him to apply streptocyclin,,,,
"asking about fish farming of imc, chitala and magur",recomended about the pre stocking management practices and told him about the feeding habit of th0se asked fishes.,,,,
asking about the variety of cauliflower,"advised to grow variety like-early kuwari,pusa deepali,early chinese prince etc",,,,
asking about kissan credit card,give him details,,,,
asking about the cultivation practices of paddy.,given in details,,,,
asking pot preparation of magigold,use compost and small amount of sand with soil for pot filling,,,,
asking for fert dose,"suggested him 8 kg urea, 10 kg ssp, 3 kg mop and 1.3 kg borax per bigha",,,,
query regarding  some local chicken  showing the signs of drooping of head with soiling of vent,"tetracycline hydrochloride @ 1 gm / lits of water for 3-4 days, wallite &  tab lomophen  with drinking water  as directed",,,,
problem of blast in rice.,advised him to apply bavistin @ 1 tea spoon @ 3 litre of water.,,,,
asking about some early variety name of cauliflower.,"suggested to grow early variety like-early kuwari,pusa katki,pusa deepali.",,,,
asking about the sowing time of bhindi,suggest him to sow in the month of february,,,,
asking about fruit rot in jack fruit.,suggested to mix 5gm saaf/5 liter of water and then spray.,,,,
query regarding poor growth of ridgegourd,application of npk 19:19:19/npk all @ 10 g/l of water for two times at an interval of 15 days alternately spraying of planofix @ 1 ml/ 3 litres of water for two times at an interval of 15 days,,,,
askibng about treatment of milk fever .,suggested to contact with nearest veterinarian immediately.,,,,
asking about the control of insects in orange,spray malathion 50 ec @ 2ml / l of water,,,,
asking about the control measure against leaf eating caterpillar infestation in king chilli.,advised him to spray rogor 35 ec @ 2 ml./litre of water.,,,,
asking about the disease of chilli,apply bavistin @ 2ml /litres of water,,,,
asking about the fertilizer requirement in bottle gourd.,"recommended him to apply 16 kg urea, 46 kg ssp and 9 kg mop per bigha of land.",,,,
asked about schemes for farmers and other related issue,"mukhya mantri krishi sa sajuli yojana - only small and marginal farmers are eligible for the benefit under the scheme. the beneficiary should be more than 21 yrs old. he or she should be involved in cultivation for at least three consecutive years. the beneficiary should be a resident farmer. the applicant or beneficiary should have a live bank account. for applying visit district agriculture office or block office
kisan credit কার্ড - contact nearest nationalized bank
pm kisan maan dhan স্কিম- a central govt. scheme. applicant should be between 18 to 40 years with maximum land holding of 15 bigha. they have to deposit a fix amount according to his age and after attaining 60 years, they will get 3000 rs per month.
harihar bharali	vill.: bihpuria, gp : bihpuria, block : bihpuria, p.o. : bihpuria, dist. : lakhimpur, assam - 784161	9864571778",,,,
stem borer of betel vine,advised to spray bordeux mixture,,,,
control measure of root rot in chilli.,suggested  to apply captan @ 2 gram / litre of water.,,,,
asking for cultural practices,exlain briefly and ask to follow as i advice,,,,
asking about the cultural practice of tea.,explained.,,,,
asking about the insects pest problem in tomato,application of charge @ 1.5 ml per litre of water,,,,
asking for control of leaf rot,recommended him to spray blitox 50 @ 1 gram per 5 litre of water,,,,
asking about the cultivation practice of blak gram.,explained in detials.,,,,
control of leaf rot in betel vine,apply bordeaux mixture four times at seven days interval,,,,
control measures of rice hispa,advice to spray chlorpyriphos 20 ec @ 2 ml/l,,,,
query regarding kcc.,approach district agri. office.,,,,
asking about the source of information of pure duck breed.,"suggested to contact the administrative officer ,alpco, khanapara.",,,,
asking about the disease of brinjal,advised to apply indofil m-45 @ ml/litres of water,,,,
asking about kisan credit card,"--first of all you have to download the kcc form from the official website of pm kisan, fill up the form and submit to the branch manager any one of the following commercial bank (or your account holding bank)- state bank of india, hdfc, punjab national bank, gramin vikash bank etc along with the xerox copy of your passbook, pan card, adhar card, 2 copies of passport size photo and one written certificate as you are a real farmer from your village 'gaon boha' or gram sevak.",,,,
asking about the kcc.,given in detail.,,,,
asking about the zinc deficirncy,recommended apply zinc sulphate @ 2kg/bigha,,,,
askin about the variety of bao rice(deep water rice),"grow bao rice variety like-panikekuwa,negheri,amona,maguri etc",,,,
query regarding control measures of leaf minner spine gourd,suggested profex super @ 2 ml per litr of water,,,,
control measure of gandhi bug,apply 'malathion dust powder' @ 3 kg per bigha of land area,,,,
asking about control of insect infestation in rice,suggested to spray tricel 20ec 3 times at 5 days in terval mixing 2 ml in 1 liter of water.,,,,
asking about the control of fungal infection n chilli,suggest him to apply amister @ 1ml/litre of water.,,,,
asking about skin problem of her goat.,"tr.: 1. cipro 500 mg 2 no.s @ 1/4th tab orally twice daily, 2. avil tab. 2 no.s @ 1/2 tab. orally daily in the evening.",,,,
asking about the availability of seedlings of dragon fruit.,contact the agriculture department for further enquiry regarding the availability.,,,,
asking for aphid problem,adviced for application of rogor @ 1.5 ml/litre of water,,,,
asking about the french bean rotting,application of ridomill m z 72 @2 gram 1 litre of water,,,,
asking about the control of leaf curling,advised him to spray rogor @ 2ml / litre of water,,,,
asking about the control measure of leaf curl in tomato,suggested him to spray rogor @2 ml/lit of water,,,,
asking sowing time of soybean,advised that sowing time of soybean is in the month of april to june,,,,
asking for the fertilizer dose,"suggested to give fertilizers such as urea,ssp and potash @ 9 kg/20 kg and 6 kg/bigha for optimum production",,,,
want to know regarding disease in tomato,advice to spray mancozeb @ 2 g/lit of water,,,,
asking about the fertilizer doses for bean,"suggested him to apply urea-15kg, ssp-35kg, mop-10kg per bigha",,,,
nutrient management in coconut,explained in details,,,,
asking about the control of fruit rot disease in pumpkin,suggested him to spray saaf @ 2gm/liter of water,,,,
asking about action plan of agricultural crops,visit department of soil science and deppt. of agronomy for further assistance/information.,,,,
asking about good quality seeds of ridge gourd,"adviced to use 'pusa nasdur, pusa sikmi'",,,,
asking about the nutrient deficiency on coconut,suggested him to coconut special @200 gm/plant,,,,
asking about pm kisan scheme.,"told him to contact with helpline no- 01123381092, 01123382401",,,,
asking about coconut cultivation,explain briefly,,,,
query regarding fish mortality due to oxygen depletion.,"critical stage(under, severe stress): immediately change the water @ 30% or give aeration using aerators. 
*if there is no provision for replenishing the water or there is no chance for artificial aeration and if the water level is above 1m:  potassium permanganate @ 250 grams/ 0.1 ha and agitate the surface with bamboo. 
*if the water level is low: reduce the stock to half and stop all feeds and fertilizers till the pond regains its healthy condition.
increase oxygen level-
1. oxy more tablets- 20-25 tablets or 200gm/ bigha
2. oxy plus tablets- 600 acre",,,,
agri qwerry,given to expert,,,,
asking about the control measure against rice hispa in sali paddy.,advised him to spray tricel-20 or classic-20 @ 2 ml./litre of water.,,,,
asking for the control of leaf blight in potato,suggested to spray tata master @ 2 gm per liter of water,,,,
asking about the control measure rice hispa,suggested him to spray malathion @2ml/lit of water,,,,
asking about application of crop growth booster for paddy,recommended to spray paddy special 2 ml/lit water,,,,
government policies,advised him to contact with district agricultural office,,,,
asking control measure of white flies,suggested him to spray methyl demeton 25ec @ 2ml/lit of water,,,,
asking about the fertlizern dose for sree rice,explain in details,,,,
asking about the amount of fertilizer required to spray in one bigha of rice,advised to apply 7 kg urea 8 kg super and 2 kg potash as advised,,,,
asking about the treatment of cattle,answer is given in details,,,,
asking about pm kisan man dhan yojana,"told him it is a central govt. scheme. age limit of the applicant is 18-40 years. landholding should be less than 15 bighas. applicants have to give premium and after attaining 60 years, they will get rs 3000 per month. 
contact- block office to enuire about common service centre",,,,
asking about control measure of cut worm and nutrient management in potato,"apply furadon 3 g @ 3 kg per bigha of soil
apply 20 kg urea, 45 kg ssp and 15 kg mop per bigha",,,,
anthracnose disease of chilly,advised to spray captan 50 wp @ 2 gram / liter water.,,,,
query regarding application of fertilizer in 1 bigha fishery,"recommended to apply 3 kg urea , 3 kg super per bigha",,,,
asking about the way ot check flower dropping in chilli,"recommended to spray planofix(anaa),1 ml/5 lit water or nagamruta(anaa),1 ml/5 lit water",,,,
query regarding control of nut weevil in mango,"when fruits are of lime size (2.5-4.0 cm) spray acephate 75 sp @ 1.5g/l or lambda cyhalothrin 5 ec @0.3ml/l, repeat the spray two weeks after first spray.",,,,
asking about the use dithane m 45,advice to use to control blight disease,,,,
asking about pm kisan form status,"suggested to  visit nearest district agricultural office or block office with proper documents like land documents, bank passbook, id proof like pan card, voter card etc. also told him online website-pmkisan.gov.in",,,,
query regarding control measures of termite in potato field,recommended to apply malathion 5 % dust @ 4 kgs per bigha,,,,
asking about the fertilizer doses of turmeric.,"suggested mr joshi to apply urea@5kg,superphosphate@18kg,mop@4kg and compost@2quintal./",,,,
query regarding application of vitamin in paddy,suggested paddy special @ 2ml per litr of water,,,,
asking about the  fertilizer dose for jute,explain in details,,,,
blood in urin,advice to give 1. stecline 500 mg @ 2 tab twice daily  2. avil tab @  1 tab twice daily,,,,
asking for control of immature nut fall,"recommended him to apply 750 gram urea, 1250 gram ssp, 875 gram mop and 50 gram borax mixing with 15 kg dried cow dung by ring method per plant twice in a year once in march-april and another in september-october",,,,
asking for quality maintain,suggested him to spray 4% zinc sulphate in betel vine,,,,
asking flood situation of assam,explain in details,,,,
control measure of fungal wilt of chilli,spray ‘bavistin’ @ 2 gm per litre of water,,,,
asked about composite carp culture,explained details,,,,
asking about growth of mango,"????? ????? ????? ?? ????? npk  19 : 19 : 19 ????? ??? ?????? ???? ?? ???? ???????? 
?????? ??? planofix  ????? ? ????? ????? ? ????? ????? ??? ?????? ???? ?? ???? ????????",,,,
disease in banana,transfered to expert,,,,
asking about visible of ladybird beetle in watermelon and asked about the fertilizer dose of watermelon,"if the ladybird beetle is infesting the plants then spray malathion/dursban @ 2ml/litre water,2 sprays at an interval of 5 days
fertilizer dose-urea @ 2 kg/bigha, ssp @ 4.5 kg/bigha and mop @ 1 kg/bigha",,,,
asking about seed treatment and soil treatment,"??????? ????? ???? ???? ? ????? ????? ??? ??? ???? ????, ???? ???? ? ????? ????? ????? ????? ? ????? ????? ??? ?????? ???? ??? ??????? ?????? ?????? ?? ???????? ? ???? ????? ????? ??? ????",,,,
asking about control measure shoot borer in citrus,adviced to spray nuvan 4 times @ 3 ml per liter of water at 20 days interval,,,,
asking about the control measure of phytophthora leaf rot disease in betel vine.,suggested to spray 0.1% bordeaux mixture at 12 days interval for two times.,,,,
asking about friut scaring beetle of banana,suggested to apply malathion 50 % ec @ 2 ml/lit at flowering initiation and fruiit initiation,,,,
asking about the cultivation practice of potato.,explained in details.,,,,
asking about the controll measure red ant in potato.,suggested him to apply malathion dust @ 5 kg per bigha.,,,,
asking about micronutrient management of cucumber,advised to spray tracel 2ml/l,,,,
farmer asking query regarding control of mosaic virus in papaya.,spray rogor/malathion 2ml/liter of water 3 times at 5 days interval in the evening time in the absence of rain.,,,,
asking about the sowing time of capsicum.,suggested mr das december-january is the ideal sowing tme of capsicum.,,,,
asking about pm kisan samman nidhi yojona.,"your account is inactive. so you have to visit to your respective block or district agriculture office with your relevant documents like adhar card, bank account passbook and land documents along with a xerox copy of your beneficiery status form and have to tell the details problem to the nodel officer or other employee related to this schem. you also have to update your adhar number and have to link your adhar with your bank account.",,,,
what is dhaincha,"its a green manuring crop,fixes nitrogen",,,,
querry regarding damping off in chillie,recommended to spray bavistin @ 2gm/l water 3 days at 5 days interval,,,,
asking about fertilizer requirement in ridge gourd.,"told him to apply 5 kg urea, 25 kg ssp and 6 kg mop per bigha of land.",,,,
query regarding  micronutrient,"apply  @ 2 ml per lit of water, twice at 15 days interval",,,,
aphids in ridge gourd,spray tafgor @ 2ml/lit of water,,,,
asking about the control mesures of rice hispa,suggested him to spray tricel@ 2ml/lit of water,,,,
asking about the treatment of goat,answer is given in detailed,,,,
stem borer,advised to spray tricel-20 or classic-20 @ 2 ml /litre water,,,,
asking for the control of rotting of pumpkin,suggested to spray blitox 50 @ 2 gm per liter of water,,,,
selection  of dairy cattle,explained,,,,
asking about the management of coconut leaf disease.,i suggest him to apply 1%bordeaux mixture around the coconut,,,,
micronutrient for pointed gourd,adviced to spray tracel-2 @ 2gm/l of water,,,,
query regarding to control white fly in chilly,suggested him to spray methyl demeton @ 2ml/lit of water,,,,
asking about fertilizer requirement in mustard,recommended to apply urea - 12 kg ssp- 30 kg and mop- 3 kg per bigha,,,,
asking about control of white fly in ridge gourd,advice to apply malathion 50 ec @ 2 ml / litre,,,,
asking about control of leaf eating caterpiller,advice to apply ekalux @ 2 ml / litre,,,,
asking about the control measure against bacterial wilt in king chilli,advised him to drench the soil with streptomycin or agrimycin @ 1 gm in 10 litres of water.,,,,
asking recommneded fertilizer dose mustard(irrigated condition),"apply recommended fertilizer dose-urea @ 18 kg,ssp @ 33 kg, mop @ 9 kg,borax @ 1.5 kg per bigha",,,,
query regarding broiler management,vit b complex should be  given with drinking water,,,,
asking about the rain-fall,there is a chance of rain in next few days,,,,
asking about control of  phtophthora blight,recommended him to apply  bordeux mixture @ 10g/lit of water spray 3 time at 5 days interval,,,,
asking about the micronutrient application in bearing coconut plant,"suggested him to apply ""multiplex coconut special"" @ 200 gm /plant in ring method",,,,
asking about different government scheme,advised to contact with concerned agricultural development officer,,,,
asking about the control measure to control wilting problem of tomato.,suggested to apply streptomycin sulphate@200 milligram/liter of water followed by bavistin@2 gram/liter of water.,,,,
asking about the control measure for leaf folder in rice.,"advised to spray king cobra @ 2 ml/lit water or decis 2.8 ec @ 2 ml/lit water,2-3 sprays at 5 days interval.",,,,
cultivation practices in banana,explain in details,,,,
"date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
03 may	34.0	26.0  / 20.0	89.0  / 95.0	11.1
04 may	22.0	27.0  / 21.0	69.0  / 0	2.0
05 may	4.0	30.0  / 23.0	45.0  / 0	4.0
06 may	43.0	23.0  / 20.0	79.0  / 0	3.0
07 may	4.0	25.0  / 19.0	55.0  / 0	3.0
08 may	0	27.0  / 20.0	43.0  / 0	3.0","told him to apply urea, ssp and potash @ 100gm/plant",,,,
query regarding management of shoot and fruit borer.,advise to spray malathion 50 ec or tricel @ 2ml/lt of water.,,,,
asked about disease in paddy seedling,adviced to spray bavistin @ 2 gm / liter of water,,,,
control of fruit sucking moth in orange,"mix 5 ml malathion 50 ec with 200 gm juggery, 200 ml orange juice in 200 ml of water and keep in a bowl",,,,
disease of brinjal,transfered to expert,,,,
asking about the control measure of fruit rot disease in ridge gourd.,suggested to apply mancozeb @ 2gram / litre of water.,,,,
query regarding mustard seed,forwarded to the expert,,,,
querry regarding nursery raising of chillie,"recommended to select a friable light soil rich in organic matter. width should be 1m and lenght should be convenient lenght. raise the bed upto 10-15cm.
captan or fytolan @0.1% solution should be applied.
covered the bed for 2 days .
treat the seed with captaf or thiram.",,,,
asking about the control measure of flower drop in pumpkin,advised to apply tracel2 @ 2gram / litre of water.,,,,
query regarding organic fertilizers in pond,advice him to 1300kg/bighas of water spread area,,,,
asking about the control measure to control fruit rot problem in bitter gourd.,suggested to apply mancozeb@2.5gram/liter of water.,,,,
query regarding control measures of termite in sugarcane,recommended to spray tricel @ 2 ml per litr of water,,,,
control measure of depleted oxygen lavel,flash the water or use oxygen tabs,,,,
asking about the control of blight of potato,advice to spray indofil-m 45 @ 2 gram/liter of water,,,,
qery regarding pm kisan samman nidhi yoojona.  please,"--please visit to your respective block or district agriculture office with your relevant documents like adhar card, bank account passbook and land documents along with a xerox copy of your beneficiery status form and have to tell the details problem to the nodel officer.",,,,
asking about cultural practices of bhut chilli,explained him in details,,,,
asking about the control measure against yellow vein mosaic disease in bhindi.,advised him to rogor 35 ec @ 2 ml./litre of water.,,,,
asking about treatment of tick infestation in goat.,suggested to bath the goat with butox by mixing 2 ml butox/lit of water.,,,,
asking about nutrient management in potato,recommended to spray potato special @ 5 g per lit of water,,,,
asking for control of aphid,recommended him to spray dada super @ 0.5 ml per litre of water,,,,
asking for loss of fisheries due to flood,contach fishery dept of your district,,,,
asking about the importance of liming in fish pond,advised him in detail about the importance of liming in fish pond,,,,
asking about the loan for dairy farm.,suggested to contact the br manager to his nearest nationalised bank.,,,,
"asking about aphid problem in cowpea,bhindi",suggested to spray rogor @ 2ml/litre of water,,,,
masaik problem,spray rogor35ec @2ml mixed with one liter of water,,,,
asking about the control measure for blight in tomato,recommended to spray indofill m 45 @ 2 gm/lit of water,,,,
asking about control of false smut in rice,told him spray two spraying of propiconazole 25 ec @ 2ml/lit  at boot leaf and 50% flowering stages,,,,
aksed about the integrated cattle cum fish farming.,given in detail about the integrated cattle cum fish farming.,,,,
query regarding control measures of fungal diseases in tea,recommended to spray bevistin @ 2 gm per litr of water,,,,
asking about how to control coccidiosis in broiler birds of about 35 days old,advice to apply  coccinil plus @ 30 gram dissolved in 50 lits of drinking water and give it daily for 5-7 days at least for 100 numbers of infected birds,,,,
control of fruit borer in brinjal,spray atabron @ 3 ml per liter of water followed by spraying of disect @ 2 ml per liter of water after seven days,,,,
query regarding management of local chicks.,"vaccine: f1, ibd, r2b.",,,,
asking about the control measure for termite in bottlegourd.,recommended to spray tricel 20 ec @ 3 ml/lit water at the base of the plant.,,,,
asking about the control measure against brown spot disease in sali paddy.,advised him to spray hinosan @ 2 ml./litre of water.,,,,
leaf eating insect in citrous,adviced to apply rogor or malathion 50 ec @ 2 ml per liter of water or nuvan dimacron @ 4 ml per liter of water,,,,
asking about loan for cow farming,told him contact to district agricultural office,,,,
asking about fertilizer dose of banana.,"advised him to apply urea 120 gm, ssp 210 gm, mop 275 gm per plant in ring during this month. again apply urea 120 gm , mop 275 gm in ring during september/october.",,,,
asking for the control of cracking of brinjal,suggested to spray multiplex boron @ 2 gm per liter of water,,,,
query regarding control measures of rice stem borer,suggested qunalphos @ 2ml per litr of water,,,,
damping of cabbage,advised to spray bavistin @ 1gram / litre water,,,,
asking about cultural practices of potato,recommended to apply urea - 19 kg ssp- 45 kg  mop- 12 kg per bigha and apply lime @ 5 kg and foradon 3 g @ 5 kg per bigha,,,,
asking about control measure of fruit fly,suggested to spray rogor @ 2 ml per lit of water twice after 10 days interval,,,,
insectprblem in citrus,application of malathion 50 ec @ 2ml per litre of water,,,,
asking about red pumpkin beetle problem,suggested to spray malathion 50ec @ 2ml+ 1gm of molases/litre of water,,,,
asked about good quality seed of paddy (dhan),"suggested to use masuri, manuhor, sharnaprova ect.",,,,
query regarding pest control in bottle gourd,suggested malathion 50 ec @ 2ml per litr of water,,,,
asking about pond water qwality management,explained in details,,,,
disease problem,drench the soil with blitox-50 @ 2 gm per liter of water,,,,
asking about pm kisan,provided all necessary information regarding pm kisan,,,,
asking about fertilizer dose,"advice to apply urea 10kg,ssp 6kg,mop 4kg/bigha",,,,
stem borer,advised to spray classic-20 @ 2 ml/ litre water,,,,
asking about control measure of leaf rot of chilli,"spray amistar @ 1.5 ml per lit of water, 3 sprays at 4 days interval",,,,
asked about cat fish culture..,explained,,,,
query regarding fruit drop in    bottle gourd,application of borax near the root zone @6 gm per litre  3 times at one week interval,,,,
control measure of fruit drop,spray malathion 50 ec + 10gm jaggary @ 2ml / lit water,,,,
control of stem rot in brinjal,spary blitox 50 @ 2 gm per liter of water,,,,
asking about whether fish are eatable after copper sulfate application for red color treatment  in fish pond,you can fish if the color of the pond become normal.,,,,
method fo cutting and etc.,"explained in details and suggested to visit kvk teok, jorhat",,,,
want to know regarding wilting of marigold,advice to spray blitox 50 @ 2 ml/lit of water,,,,
asking about the control of pest attack in papaya,advice to spray rogor 35 ec @ 2.5 ml/liter of water and give the fertiliser,,,,
asking about fertilizers dose in green gram,"advice him to apply urea 4.5 kg, ssp 30 kg, mop 3kg",,,,
asking about control measure of rice ear cutting in paddy field,suggested him to spray tricel-20ec or decis @ 2ml/lit of water 2 times at 3-4 days interval in the morning hours,,,,
asked control measures of eus disease of fish.,advised him to apply dip treatment of nacl@3-4% solution to e given to the affected fish at the initial stage of the disease.,,,,
asking about the pm kisan,"told him to visit district agricultural office with land documents , id proof",,,,
asking for fert dose,"suggested him apply 12 kg urea, 30 kg ssp, 3 mop and 1.3 kg borax at the time of final land preperation.",,,,
asking about the control of leaf eating caterpiller incolocasia,suggested him to spray malathion 50 ec @ 2ml/liter of water,,,,
leaf curl virus in chilli,adviced to apply plantomycin or streptomycin @ 2 ml per liter of water,,,,
asking about the control measure to control immature fruit drop problem in coconut at the age of 12 years.,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk.",,,,
"asking about another contact number of  dr. sanjib ranjan bora , jorhat (kvk)",আপুনি যোৰহাট কৃষি বিজ্ঞান কেন্দ্র ত যাব. তেওঁৰ অন্য ফোন নম্বৰ আমাৰ ইয়াত নাই .,,,,
asking how to avail kcc loan,explained in details about the procedure,,,,
"date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
26 apr	0	34.2  / 21.4	67.0  / 69.0	3.7
27 apr	0	35.0  / 21.0	37.0  / 0	5.0
28 apr	11.0	32.0  / 21.0	44.0  / 0	5.0
29 apr	8.0	31.0  / 19.0	48.0  / 0	6.0
30 apr	38.0	30.0  / 19.0	52.0  / 0	6.0
01 may	31.0	28.0  / 19.0	56.0  / 0	5.0","date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
26 apr	0	34.2  / 21.4	67.0  / 69.0	3.7
27 apr	0	35.0  / 21.0	37.0  / 0	5.0
28 apr	11.0	32.0  / 21.0	44.0  / 0	5.0
29 apr	8.0	31.0  / 19.0	48.0  / 0	6.0
30 apr	38.0	30.0  / 19.0	52.0  / 0	6.0
01 may	31.0	28.0  / 19.0	56.0  / 0	5.0",,,,
telling that he has cultivated sali rice in a land of 5 bigha. but now the crops are being damege by rice case worm and causing severe damage to the leaves. asking the control measure for the same.,suggested mr. ali to drain- off the water from the field to kill the floating larvae and to put some kerosene in the field water and to dislodge the leaf-cases by shaking the plants by passing rope. chemical measures suggested is to spray the crop with quinalphos 25ec @ 1 litre per 250 litres of water per hectare.,,,,
stem cutting of citrus,advised him to use cocopit,,,,
query regarding antracnose of capsicum,advised to apply blue copper for antracnose disease in capsicum,,,,
asking about cultural practices,explain in details,,,,
asking about the control measure of root rot in knol-khol,suggested him to spray contaf @1ml/lit of water,,,,
asking about fertilizer required to spray in one bigha,explained in detail,,,,
asking fert dose,"apply 1.5 ton compost, 20 kg urea, 50 kg ssp and 20 kg mop",,,,
asking about control of nutrient deficiency in chilli.,apply npk @ 10 g per liter of water at an interval of 15 days for 2 times.,,,,
asking about fertilizer dose,"advice to apply urea 19 kg,ssp 45 kg, mop 12 / bigha",,,,
asking about control of fruit rot,"recommended to spray saaf or hexaconazole @2gm/l water 
also spray green harvest crop booster @ 5gm/l water",,,,
asking about control of leaf spot in betelvine,recommended to prepare bordeaux mixture: 100gm lime and 100gm copper sulphate in two separate bucket with 5 litre water. then mix it properly. then in the 3rd bucket pour the two solution so that it get mix together. spray final solution for 5-8 times a day .,,,,
control measure of fungal wilt of brinjal,spray ‘bavistin’ @ 2 gm per litre of water,,,,
wilt in bhindi,spray captaf @ 2gm/lit,,,,
query regarding rice diseases,suggested to spray bevistin @ 2gm per litr of water,,,,
asking about control measure of rhizome rot,recommended to spray saaf @ 2 g per lit of water,,,,
asking about selling of rice,--visit district agriculture office,,,,
query regarding in appitance of anascently parturated cow,told him to inject catlogenta 30 ml & anistamin  10 ml -- 4 & 1 ml i/ m ly for three days . ruchamax 30gm pkt & floraboost bolus 4 nos  should throughly mixed & give to the cow orally in two divided dose,,,,
asking about the seed treatment of rice seeds,recommended apply captaf 3 gram/ kg seed with water and keep 24 hrs(overnight).,,,,
control of leaf rot in betel vine,spray bordeaux mixture six times in a year at two month interval,,,,
asking about the fruit rot and die back in chillis,suggsted him to spray contaf @ 1ml/l of water,,,,
asking about the treatment of cough of a goat.,suggested to administer caflon pow @1 tsf orally twice a day.,,,,
asking about features of kisan credit card.,"told him the maximum credit limit is rs. 3,00,000. the rate of interest is 9% but if the loan is repaid on time then a subvention of 2% and again a 3% subvention is given. for further information visit the nationalized bank from where the card has been issued and contact the agriculture field officer.",,,,
asking about the disease of banana,explained in details,,,,
asking about the disease of bottle gourd,siggessted to apply diathane-z-78 @2 gram per 1 litres of water,,,,
asking about treatment of diarrhoea of a goat.,suggested him to administer neblon powder @12gm twice daily for 5 days.along with that administer himalayan batisa @1 suchet twice daily for 5 days.,,,,
asking about control of nematode,apply furadon,,,,
